Lung_weight,Lung_weight_x_100,Day.x,Mouse_ID,Eotaxin (74),G-CSF (54),GM-CSF (73),IFNg (34),IL-10 (56),IL-12p40 (76),IL-12p70 (78),IL-13 (37),IL-17A (72),IL-1b (19),IL-2 (36),IL-3 (18),IL-4 (39),IL-5 (52),IL-6 (38),IL-9 (33),IL-1a (53),KC (57),MCP-1 (51),MIP-1B (75),MIP-1a (77),RANTES (55),TNFa (21),Day.y,BAL Cell counts,Hysteresis,BAL protein,Viral Burden,Group,Day 0,Day 3,Day 4,Day 5,Day 8
0.0307,3.07,0,1,190.3876221,0,2.840390879,2.433224756,0.48534202,9.48534202,13.23778502,13.09771987,1.42019544,0.348534202,0.951140065,0.74267101,0.371335505,0.397394137,0.54723127,3.524429967,3.061889251,7.879478827,69.03583062,26.76872964,3.13029316,121.8078176,3.791530945,Day 0,5000,NA,383.46415,0,Day 0,1,0,0,0,0
0.0267,2.67,0,2,234.6254682,0,2.397003745,2.168539326,0,10.52434457,12.39700375,11.99250936,2.074906367,0.400749064,0.453183521,0.711610487,0.280898876,0.153558052,0.68164794,2.775280899,3.36329588,7.400749064,40.04868914,0,2.08988764,84.41947566,4.359550562,Day 0,20000,0.8181,65.08455,0,Day 0,1,0,0,0,0
0.0299,2.99,0,3,202.006689,0,3.588628763,3.842809365,0.331103679,23.28428094,15.26755853,19.90635452,2.2909699,0.461538462,1.816053512,0.939799331,0.274247492,0.799331104,0.879598662,4.381270903,4.525083612,8.334448161,51.5083612,14.75250836,2.869565217,89.80267559,6.153846154,Day 0,10000,1.2321,132.7919,0,Day 0,1,0,0,0,0
0.0294,2.94,0,4,159.829932,0,2.965986395,3.129251701,0.670068027,6.918367347,16.16666667,12.29591837,2.153061224,0.363945578,1.149659864,0.731292517,0.306122449,0.414965986,0.659863946,3.214285714,4.884353741,24.3707483,63.36394558,11.75510204,2.146258503,55.70748299,4.336734694,Day 0,30000,0.07932,125.03915,0,Day 0,1,0,0,0,0
0.0484,4.84,0,5,205.9380165,0,2.938016529,2.347107438,0.407024793,12.38016529,9.690082645,9.128099174,1.30785124,0.252066116,1.394628099,0.607438017,0.219008264,0.493801653,0.634297521,2.896694215,2.766528926,4.752066116,65.62190083,19.20454545,3.128099174,108.4566116,5.002066116,Day 0,20000,0.0948,41.30945,0,Day 0,1,0,0,0,0
0.04,4,0,6,136.975,0,0.86,1.625,0,8.8,9.5325,5.855,1.2425,0.19,0,0.5375,0.11,0.1025,0.62,2.08,3.16,7.2275,44.615,6.5275,2.1125,84.54,3.745,Day 0,40000,1.0323,150.88165,0,Day 0,1,0,0,0,0
0.0291,2.91,0,7,205.257732,0,2.199312715,2.068728522,0,16.88659794,9.64604811,11.00343643,1.81443299,0.367697595,0.326460481,1.010309278,0.075601375,0.419243986,0.402061856,2.154639175,3.749140893,7.195876289,80.72852234,5.24742268,4.079037801,154.0584192,5.147766323,Day 0,35000,1.3013,191.7128,0,Day 0,1,0,0,0,0
0.0315,3.15,0,8,202.7206349,0,1.092063492,3.565079365,0.625396825,11.01587302,11.30793651,15.26984127,2.06031746,0.387301587,2.831746032,0.933333333,0.152380952,0.634920635,0.504761905,3.723809524,4.796825397,4.301587302,46.73333333,0,2.041269841,100.1333333,4.755555556,Day 0,10000,1.2115,264.58865,0,Day 0,1,0,0,0,0
0.0298,2.98,0,9,264.8255034,0,1.694630872,3.597315436,0,5.765100671,14.05704698,13.49328859,2.228187919,0.308724832,2.080536913,0.72147651,0.05033557,0.932885906,0.593959732,3.402684564,4.308724832,6.083892617,70.62751678,5.124161074,2.590604027,80.29194631,5.026845638,Day 0,30000,0.6241,214.4542,0,Day 0,1,0,0,0,0
0.0392,3.92,0,10,206.9897959,0,3.198979592,4.826530612,0.867346939,10.76785714,18.33928571,17.99744898,1.910714286,0.410714286,5.015306122,0.683673469,0.270408163,1.204081633,1.316326531,7.084183673,4.852040816,5.793367347,54.44132653,16.01020408,2.494897959,75.625,7.385204082,Day 0,15000,0.6484,268.2066,0,Day 0,1,0,0,0,0
0.0284,2.84,0,11,273.8450704,0,3.778169014,5.334507042,2.323943662,9.535211268,17.61619718,32.3028169,3.091549296,0.647887324,4.253521127,1.320422535,0.345070423,1.795774648,1.242957746,6.788732394,4.61971831,9.60915493,53.03521127,26.78169014,3.158450704,85.57746479,9.355633803,Day 0,25000,0.7569,344.7004,0,Day 0,1,0,0,0,0
0.0254,2.54,0,12,169.8346457,0,2.519685039,2,0,9.44488189,11.0511811,12.60629921,2.326771654,0.362204724,0.866141732,0.846456693,0.232283465,0.322834646,0.625984252,2.645669291,4.677165354,3.354330709,61.29527559,0,1.976377953,69.20472441,4.582677165,Day 0,15000,0.4446,170.0051,0,Day 0,1,0,0,0,0
0.0204,2.04,0,13,207.9117647,0,1.68627451,2.039215686,0,14.2745098,10.66666667,11.48039216,2.539215686,0.37254902,0,0.931372549,0.441176471,0,0.401960784,2.406862745,5.485294118,7.730392157,44.42156863,0,3.720588235,133.2401961,4.637254902,Day 0,5000,0.8672,334.88025,0,Day 0,1,0,0,0,0
0.0305,3.05,0,14,119.5377049,0,3.196721311,1.439344262,0,5.806557377,10.0295082,9.108196721,2.075409836,0.350819672,0.31147541,0.790163934,0.095081967,0.13442623,0.462295082,1.908196721,3.760655738,4.73442623,33.09836066,0,2.390163934,62.65245902,4.180327869,Day 0,10000,0.7698,140.0278,0,Day 0,1,0,0,0,0
0.0305,3.05,0,15,83.32786885,0,1.127868852,1.216393443,0,11.70819672,11.05901639,9.108196721,1.836065574,0.301639344,0.039344262,0.62295082,0.049180328,0.13442623,0.603278689,1.609836066,2.990163934,5.508196721,47.13442623,0,1.563934426,47.55409836,3.455737705,Day 0,30000,0.9884,337.98135,0,Day 0,1,0,0,0,0
0.0219,2.19,3,16,263.6666667,0,7.214611872,3.525114155,1.337899543,10.47945205,16.26484018,16.50684932,2.890410959,0.420091324,0.191780822,0.867579909,0.484018265,1.182648402,1.917808219,4.109589041,4.479452055,8.817351598,101.4246575,11.92237443,2.100456621,167.347032,7.356164384,Day 3,1200000,0,582.4514,81852.42626,Day 3,1,1.282727273,0,0,0
0.0218,2.18,3,17,67.37614679,1.160550459,0,0,0,9.330275229,0,0,0.229357798,0.559633028,0,0.637614679,0,0.188073394,3.114678899,0.490825688,1.188073394,8.788990826,193.0366972,0,1.151376147,40.49541284,0.821100917,Day 3,0,0,0,989221.9526,Day 3,1,1.235042735,0,0,0
0.0305,3.05,3,18,284.8196721,2.750819672,4.11147541,4.793442623,4.744262295,88.10163934,21.73114754,17.03606557,2.596721311,0.901639344,1.22295082,0.878688525,0.636065574,2.42295082,5.347540984,4.147540984,5.203278689,38.83606557,676.2491803,120.5442623,33.87540984,423.3803279,9.101639344,Day 3,600000,1.0738,271.82455,1023075479,Day 3,1,1.308396947,0,0,0
0.0202,2.02,3,19,376.2772277,2.544554455,7.03960396,5.430693069,3.267326733,43.98019802,30.02970297,23.81188119,4.613861386,0.757425743,2.465346535,1.856435644,0.678217822,1.569306931,4.579207921,6.712871287,7.787128713,23.06930693,382.6534653,76.05445545,12.74257426,436.0792079,15.51980198,Day 3,240000,0.6754,197.915,29041968.65,Day 3,1,1.221374046,0,0,0
0.0339,3.39,3,20,352.7522124,0,4.660766962,5.179941003,2.991150442,18.82300885,23.59882006,20.27433628,2.115044248,0.542772861,4.235988201,1.026548673,0.404129794,1.16519174,3.08259587,7.98820059,5.489675516,24.1740413,93.32448378,34.61356932,2.592920354,306.2389381,11.40117994,Day 3,130000,0.9601,110.0505,1.58725091,Day 3,1,1.276153846,0,0,0
0.0306,3.06,3,21,211.5816993,0,3.506535948,3.58496732,0,24.95751634,14.50980392,18.22222222,3.045751634,0.450980392,0.797385621,1.003267974,0.320261438,0.39869281,1.37254902,3.983660131,4.60130719,9.591503268,69.74183007,24.07843137,3.830065359,205.1503268,7.529411765,Day 3,120000,1.1644,150.88165,1459266.816,Day 3,1,1.2575,0,0,0
0.0295,2.95,3,22,186.0508475,0,2.169491525,2.491525424,0,13.63389831,14.62372881,9.416949153,2.037288136,0.311864407,0.142372881,0.728813559,0.125423729,0.545762712,1.281355932,2.66440678,3.793220339,8.2,69.33559322,18.45084746,2.298305085,86.43050847,4.698305085,Day 3,200000,1.4264,161.21865,401284.926,Day 3,1,1.183647799,0,0,0
0.0211,2.11,3,23,166.1184834,0,4.132701422,4.123222749,1.388625592,34.82464455,19.85308057,13.16587678,3.701421801,0.616113744,0.573459716,1.142180095,0.137440758,1.132701422,2.066350711,3.943127962,5.758293839,22.78672986,266.6113744,32.59241706,8.369668246,219.9620853,7.099526066,Day 3,710000,0.8897,247.5326,2632593313,Day 3,1,1.276666667,0,0,0
0.0277,2.77,3,24,320.8555957,2.537906137,4.527075812,6.046931408,1.397111913,39.62093863,24.15162455,22.8267148,3.285198556,0.689530686,2.985559567,1.061371841,0.494584838,1.353790614,4.703971119,6.960288809,5.231046931,23.63176895,201.33213,66.92057762,10.6101083,202.4151625,9.592057762,Day 3,510000,0.9636,140.0278,1712121076,Day 3,1,1.179136691,0,0,0
